title,author,genre,price,description
The Alchemist,Paulo Coelho,Fiction,299,"A young shepherd follows his dream and learns about purpose courage destiny and self discovery."
Atomic Habits,James Clear,Self Help,499,"A practical guide to building good habits breaking bad habits and making small improvements."
The Psychology of Money,Morgan Housel,Finance,399,"Explores how people think about money wealth investing and financial decisions."
Rich Dad Poor Dad,Robert Kiyosaki,Finance,349,"Explains different approaches to money investing financial education and building wealth."
Ikigai,Hector Garcia,Self Help,299,"Explores the Japanese concept of finding purpose meaning and happiness in everyday life."
Deep Work,Cal Newport,Productivity,450,"Explains how focused work can improve productivity learning and professional performance."
The Power of Now,Eckhart Tolle,Self Help,399,"A guide to mindfulness presence and living more fully in the present moment."
Think and Grow Rich,Napoleon Hill,Self Help,250,"Discusses mindset goals persistence and principles for achieving personal success."
The 7 Habits of Highly Effective People,Stephen Covey,Self Help,499,"A guide to personal effectiveness leadership habits and meaningful improvement."
Man's Search for Meaning,Viktor Frankl,Psychology,299,"A reflection on finding meaning hope and purpose during difficult circumstances."
The Silent Patient,Alex Michaelides,Mystery,399,"A psychological mystery about a woman who stops speaking after a shocking crime."
Gone Girl,Gillian Flynn,Mystery,450,"A psychological mystery involving relationships deception disappearance and hidden secrets."
Sherlock Holmes,Arthur Conan Doyle,Mystery,299,"Classic detective stories featuring Sherlock Holmes solving difficult mysteries."
The Girl on the Train,Paula Hawkins,Thriller,399,"A psychological thriller involving a woman who becomes connected to a mysterious disappearance."
The Da Vinci Code,Dan Brown,Thriller,399,"A mystery thriller involving hidden symbols secret societies and historical mysteries."
Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy,450,"A young boy discovers a magical world and begins his journey at Hogwarts."
The Hobbit,J.R.R. Tolkien,Fantasy,399,"A hobbit joins an adventure involving dwarves dragons treasure and a dangerous journey."
The Lord of the Rings,J.R.R. Tolkien,Fantasy,599,"An epic fantasy journey involving friendship courage power and the struggle against evil."
Pride and Prejudice,Jane Austen,Romance,299,"A classic story about love relationships social expectations and misunderstandings."
The Fault in Our Stars,John Green,Romance,350,"A young love story exploring relationships illness hope and emotional growth."
Me Before You,Jojo Moyes,Romance,399,"A story about love friendship personal choices and changing lives."
The Book Thief,Markus Zusak,Historical Fiction,450,"A historical story about a young girl books friendship and life during wartime."
1984,George Orwell,Dystopian,299,"A dystopian novel about surveillance control propaganda and individual freedom."
Animal Farm,George Orwell,Political Fiction,199,"An allegorical story about power leadership equality and political control."
Sapiens,Yuval Noah Harari,History,499,"Explores the history and development of humans and civilizations."
A Brief History of Time,Stephen Hawking,Science,450,"Introduces major ideas about the universe time space and cosmology."
The Selfish Gene,Richard Dawkins,Science,499,"Explores evolution genetics natural selection and the role of genes."
Clean Code,Robert C. Martin,Programming,699,"A practical guide to writing readable maintainable and high quality software."
The Pragmatic Programmer,Andrew Hunt,Programming,799,"Provides practical principles and techniques for becoming an effective programmer."
Python Crash Course,Eric Matthes,Programming,650,"A beginner friendly introduction to Python programming and practical projects."
Hands-On Machine Learning,Aurélien Géron,Artificial Intelligence,899,"Introduces machine learning concepts algorithms and practical implementation."
Artificial Intelligence: A Modern Approach,Stuart Russell,Artificial Intelligence,999,"A comprehensive introduction to artificial intelligence concepts methods and applications."
Introduction to Algorithms,Thomas H. Cormen,Programming,899,"A detailed introduction to algorithms data structures and computational problem solving."
The Design of Everyday Things,Don Norman,Design,550,"Explains design principles usability and how people interact with everyday products."
Steal Like an Artist,Austin Kleon,Creativity,299,"Encourages creativity by showing how artists can learn from ideas around them."
Show Your Work,Austin Kleon,Creativity,299,"Encourages creators to share their process work ideas and creative journey."
The Creative Act,Rick Rubin,Creativity,599,"Explores creativity artistic practice and the process of creating meaningful work."
Educated,Tara Westover,Biography,399,"A memoir about education family identity and personal transformation."
Becoming,Michelle Obama,Biography,599,"A memoir about personal experiences family career identity and public life."
Wings of Fire,A.P.J. Abdul Kalam,Biography,299,"An inspirational autobiography about education science challenges and achievement."
The Immortals of Meluha,Amish Tripathi,Mythology,399,"A mythological fiction story inspired by Indian mythology and the journey of Shiva."
The Palace of Illusions,Chitra Banerjee Divakaruni,Mythology,399,"A retelling of the Mahabharata from the perspective of Draupadi."
The Midnight Library,Matt Haig,Fiction,399,"A speculative story exploring choices regrets possibilities and different paths a life could take."
The Kite Runner,Khaled Hosseini,Fiction,399,"A story about friendship family guilt redemption and changing lives across Afghanistan and beyond."
The Little Prince,Antoine de Saint-Exupéry,Fiction,199,"A philosophical story about friendship love relationships imagination and seeing beyond appearances."
Norwegian Wood,Haruki Murakami,Fiction,399,"A reflective coming of age story about love friendship memory loneliness and relationships."
The Martian,Andy Weir,Science Fiction,450,"A science fiction survival story about an astronaut stranded on Mars and using science to survive."
Project Hail Mary,Andy Weir,Science Fiction,499,"A science fiction adventure involving space exploration survival science and an unexpected mission."
Dune,Frank Herbert,Science Fiction,499,"An epic science fiction story involving politics power family destiny and a desert planet."
The Hunger Games,Suzanne Collins,Dystopian,399,"A dystopian survival story about competition courage rebellion and sacrifice."
Wonder,R.J. Palacio,Young Adult,299,"A story about kindness friendship acceptance courage and growing up."
The 5 AM Club,Robin Sharma,Productivity,399,"A motivational guide focused on routines productivity discipline and personal growth."
Gently Falls the Bakula,Sudha Murty,Romance,299,"A story about marriage ambition relationships and the changing priorities of a young couple."
House of Cards,Sudha Murty,Fiction,299,"A story about marriage relationships ambition social expectations and the realities of life."
Dollar Bahu,Sudha Murty,Fiction,199,"A story about family relationships materialism social status and the value of people over money."
Wise and Otherwise,Sudha Murty,Short Stories,299,"A collection of real life stories offering observations about people relationships kindness and human nature."
Three Thousand Stitches,Sudha Murty,Biography,399,"Stories from Sudha Murty's experiences involving social work people challenges and personal lessons."
Grandma's Bag of Stories,Sudha Murty,Children,299,"A collection of entertaining stories told by a grandmother to children."
The Day I Stopped Drinking Milk,Sudha Murty,Short Stories,299,"A collection of stories about people experiences relationships kindness and life lessons."
Magic Drum and Other Favourite Stories,Sudha Murty,Children,299,"A collection of Indian folk tales and entertaining stories for young readers."
I Too Had a Love Story,Ravinder Singh,Romance,299,"A romantic story about love relationships separation memories and the emotions of first love."
Can Love Happen Twice?,Ravinder Singh,Romance,299,"A story about love loss healing and the possibility of finding love again."
Your Dreams Are Mine Now,Ravinder Singh,Romance,299,"A young love story involving relationships dreams social differences and personal choices."
This Love That Feels Right,Ravinder Singh,Romance,299,"A contemporary romantic story exploring love relationships emotions and difficult choices."
The Belated Bachelor Party,Ravinder Singh,Romance,399,"A friendship and relationship story involving old friends memories travel and life after college."
The Secret Wish List,Preeti Shenoy,Romance,299,"A story about a woman who questions her routine life and begins exploring her dreams wishes and relationships."
The One You Cannot Have,Preeti Shenoy,Romance,299,"A relationship story exploring love heartbreak friendship and complicated emotions."
It Happens for a Reason,Preeti Shenoy,Romance,299,"A story about relationships heartbreak hope and finding strength through difficult experiences."
A Hundred Little Flames,Preeti Shenoy,Fiction,399,"A story about family relationships self discovery memories and finding meaning in life."
Love, Kisses, and All Things,Preeti Shenoy,Romance,299,"A contemporary story about love relationships emotions and personal choices."
Life Is What You Make It,Preeti Shenoy,Fiction,299,"A story about resilience relationships personal struggles and finding strength in life."
Why We Love the Way We Do,Preeti Shenoy,Self Help,299,"Explores relationships emotions human behaviour and different aspects of love."
